大陆频道,#genre# 
贵州卫视,http://ivi.bupt.edu.cn/hls/gzhd.m3u8
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8
内蒙古卫视,http://ivi.bupt.edu.cn/hls/nmtv.m3u8
青海卫视,http://ivi.bupt.edu.cn/hls/qhtv.m3u8
陕西卫视,http://ivi.bupt.edu.cn/hls/sxtv.m3u8
山西卫视,http://ivi.bupt.edu.cn/hls/sxrtv.m3u8
厦门卫视,http://ivi.bupt.edu.cn/hls/xmtv.m3u8
新疆卫视,http://ivi.bupt.edu.cn/hls/xjtv.m3u8
云南卫视,http://ivi.bupt.edu.cn/hls/yntv.m3u8
宁夏卫视,http://ivi.bupt.edu.cn/hls/nxtv.m3u8
甘肃卫视,http://ivi.bupt.edu.cn/hls/gstv.m3u8
兵团卫视,http://ivi.bupt.edu.cn/hls/bttv.m3u8
延边卫视,http://ivi.bupt.edu.cn/hls/ybtv.m3u8
三沙卫视,http://ivi.bupt.edu.cn/hls/sstv.m3u8
高清国内,#genre# 
CCTV-1综合,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000210103.m3u8
CCTV-2财经,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000203603.m3u8
CCTV-3综艺,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000203803.m3u8
CCTV-4中文国际,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000204803.m3u8
CCTV-5体育,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000205103.m3u8
CCTV-5+体育赛事,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000204503.m3u8
CCTV-6电影,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000203303.m3u8
CCTV-7国防军事,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000510003.m3u8
CCTV-8电视剧,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000203903.m3u8
CCTV-9纪录,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000499403.m3u8
CCTV-10科教,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000203503.m3u8
CCTV-11戏曲,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000204103.m3u8
CCTV-12社会与法,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000202603.m3u8
CCTV-13新闻,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-14少儿,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000204403.m3u8
CCTV-15音乐,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000205003.m3u8
CCTV-17农村农业,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000204203.m3u8
CCTV4K,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000266303.m3u8
CGTN,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
湖南卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000296203.m3u8
浙江卫视,http://58.251.112.67/tlivecloud-cdn.ysp.cctv.cn/001/2000295503.m3u8
